domain,url_count
higoatboyolali.blogspot.com,1
hirenjshah.blogspot.com,1
hockeyschtick.blogspot.com,1
hodentek.blogspot.com,1
hoggresearch.blogspot.com,3
holisticinfosec.blogspot.com,2
honcol.blogspot.com,3
horicky.blogspot.com,1
hurstassociates.blogspot.com,3
iasabhiyan.blogspot.com,1
icanhazdatascience.blogspot.com,2
icpsr.blogspot.com,1
ideaisaac.blogspot.com,1
ieee-cis.blogspot.com,1
igorsubbotin.blogspot.com,16
inderscience.blogspot.com,8
infoproc.blogspot.com,4
informaticsprofessor.blogspot.com,5
information-literacy.blogspot.com,1
information-studies.blogspot.com,6
infoscinews.blogspot.com,1
instsignpost.blogspot.com,1
interestinggraphs.blogspot.com,1
ipscblog.blogspot.com,1
irjci.blogspot.com,1
itdegreelevat.blogspot.com,1
java67.blogspot.com,2
jayarava.blogspot.com,1
jaymcbain.blogspot.com,1
jessicammoss.blogspot.com,3
jkobielus.blogspot.com,14
john-hawkins.blogspot.com,1
johnrlott.blogspot.com,1
jopx.blogspot.com,3
julesberman.blogspot.com,5
kadatascience.blogspot.com,1
kerfors.blogspot.com,1
kilburnunemployed.blogspot.com,2
kipcurrierethics.blogspot.com,2
knols-cse.blogspot.com,1
kumaranpm.blogspot.com,4
lamages.blogspot.com,1
lelonxumalo.blogspot.com,1
lets-do-something-big.blogspot.com,1
lifeanalytics.blogspot.com,1
lifeaterg.blogspot.com,1
lifemagazineus.blogspot.com,1
ligonews.blogspot.com,1
lindaburtch.blogspot.com,1
loathingbioethics.blogspot.com,1
loganis-data-science.blogspot.com,1
logbase2.blogspot.com,1
looge.blogspot.com,1
lornamhughes.blogspot.com,1
louismikellides.blogspot.com,23
lovelearning9.blogspot.com,3
lovepinklol-bigdate.blogspot.com,1
lunametrics.blogspot.com,1
manjukefernando.blogspot.com,4
marketdesigner.blogspot.com,2
maxentopy.blogspot.com,12
mesin-belajar.blogspot.com,3
meta-reflections.blogspot.com,1
mikenormaneconomics.blogspot.com,1
misssizerssciencehelpdesk.blogspot.com,1
mlessenstials.blogspot.com,3
mohamedaminechatti.blogspot.com,3
motls.blogspot.com,2
musingsoniraq.blogspot.com,1
mvark.blogspot.com,1
my-inner-voice.blogspot.com,2
myabakhova.blogspot.com,4
mydatascienceblog.blogspot.com,1
mysliceofpizza.blogspot.com,4
naijacomms.blogspot.com,1
naijacompetitions.blogspot.com,1
navraj28.blogspot.com,1
ncarrda.blogspot.com,3
newdatascientist.blogspot.com,13
newsssssssssssssssssssss.blogspot.com,1
nezirteke.blogspot.com,1
ngedata.blogspot.com,1
noahpinionblog.blogspot.com,2
notawfulandboring.blogspot.com,1
novataxa.blogspot.com,3
nsmnss.blogspot.com,2
nuit-blanche.blogspot.com,231
nuit-blanche.blogspot.fr,3
oakleafblog.blogspot.com,7
oldblog.gregdetre.co.uk,4
opendatascienceconference.blogspot.com,5
operationalnotes.blogspot.com,1
oysterradio.blogspot.com,1
paravirtualization.blogspot.com,4
paulyang0125.blogspot.com,1
pawansplanet.blogspot.com,1
pbeltrao.blogspot.com,1
pdfbooksinfo.blogspot.com,2
pepvallbe.blogspot.com,1
ph-chimie.blogspot.com,1
phdatascience.blogspot.com,1
philanthropy.blogspot.com,1
phillytechnews.blogspot.com,1
philosophyofscienceportal.blogspot.com,7
phylogenomics.blogspot.com,1
physicstodata.blogspot.com,2
pinkokorner.blogspot.com,1
policybythenumbers.blogspot.com,2
politicalcalculations.blogspot.com,1
politicaldatascience.blogspot.com,9
practical-data-science.blogspot.com,1
practicalquant.blogspot.com,11
prasoon.blogspot.com,1
programming-digressions.blogspot.com,1
programming-feed101.blogspot.com,2
prometheusanalytics.blogspot.com,1
publishingarchaeology.blogspot.com,13
pycon.blogspot.com,6
pyinformatics.blogspot.com,6
python-development.blogspot.com,1
