link_name,url_link
#MakeoverMonday: Data Science Degrees and Tile Maps ~ Data + Brit,http://databrit.blogspot.com/2016/01/makeovermonday-data-science-degrees-and.html
The Eponymous Pickle: A Condensed Guide to Data Science,http://eponymouspickle.blogspot.com/2016/05/a-condensed-guide-to-data-science.html
Data Science at Michigan Ross | Ecommerce thoughts from Ann Arbor,http://ecommerceaa.blogspot.com/2016/01/data-science-at-michigan-ross.html
Getting Inclusive with Data Science: ERG Students Initiate Data ...,http://lifeaterg.blogspot.com/2016/02/getting-inclusive-with-data-science-erg.html
"Meta-Reflections: Nursing informatics, data science, and health analytics",http://meta-reflections.blogspot.com/2016/03/nursing-informatics-data-science-and.html
Data science for kids!: Organizing your own camp,http://datasciencekids.blogspot.com/p/organizing-your-own-data-camp-for-kids.html
"Big Data Degree Programs: Get Your Big Data, Data Science or ...",http://bigdatadegreeprograms.blogspot.com/
Data Reality,http://datareality.blogspot.com/
Data Science New Zealand,http://datascinz.blogspot.com/
Data science for kids!: About AM Research,http://datasciencekids.blogspot.com/p/about-am-research.html
The Eponymous Pickle: Data Science in the Amazon Supply Chain,http://eponymouspickle.blogspot.com/2016/07/data-science-in-amazon-supply-chain.html
Informatics Professor: Biomedical Data Science Needs Measures of ...,http://informaticsprofessor.blogspot.com/2016/01/biomedical-data-science-needs-measures.html
"Data Science with Python, Anaconda, Panda and Bokeh - Curriculum ...",http://bnreddybi.blogspot.com/2016/03/data-science-with-python-anaconda-panda.html
Big Data Authority: PANCAKE STACK -- New Data Science Stack,http://bigdataauthority.blogspot.com/2016/04/pancake-stack-new-data-science-stack.html
"#DecisionTrees and #RandomForest, here come the #RCodes ...",http://politicaldatascience.blogspot.com/2016/05/decisiontrees-and-randomforest-here.html
Computer Science and Engineering Knowledge Center: Data Science ...,http://knols-cse.blogspot.com/2016/02/data-science-nptel-video-course.html
Steve's Machine Learning Blog: Data Science Venn Diagram v2.0,http://anlytcs.blogspot.com/2014/01/data-science-venn-diagram-v20.html
Redhill Data Science - Learning to be a Data Scientist,http://redhill-datascience.blogspot.com/
Random Ponderings: Data Science Positions for Sports Analytics,http://yyue.blogspot.com/2016/01/data-science-positions-for-sports.html
Enterprise Software Doesn't Have to Suck,http://prasoon.blogspot.com/
Open Data Science Conference #ODSC,http://opendatascienceconference.blogspot.com/
Data Science (Side Projects),http://ankoorb.blogspot.com/
ASI Data Science And Business Analytics,http://theasidatascience.blogspot.com/
Mathematical Problems in Data Science | Pdf Books Free Download,http://pdfbooksinfo.blogspot.com/2015/12/mathematical-problems-data-science.html
Theory Announcements: [DMANET] CFP: Two events in Data Science ...,http://dmatheorynet.blogspot.com/2016/03/dmanet-cfp-two-events-in-data-science.html
Pawan's Planet: What is Data Science,http://pawansplanet.blogspot.com/2015/03/what-is-data-science.html
"How signals, geometry, and topology are influencing data science ...",http://practicalquant.blogspot.com/2013/05/how-signals-geometry-and-topology-are.html
"Nuit Blanche: Job: PhD studentship and Postdocs, Fellowship ...",http://nuit-blanche.blogspot.com/2016/01/job-phd-studentship-and-postdocs.html
Software as Service. a tester's perspective: Data science and software ...,http://testingsaas.blogspot.com/2016/01/data-science-and-software-testing-its.html
Theory Announcements: [DMANET] Data Science in Optimisation ...,http://dmatheorynet.blogspot.com/2016/02/dmanet-data-science-in-optimisation.html
"Getting Genetics Done: There is no Such Thing as Biomedical ""Big Data""",http://gettinggeneticsdone.blogspot.com/2014/02/no-such-thing-biomedical-bigdata.html
The Eponymous Pickle: Wharton Pushes Data Science,http://eponymouspickle.blogspot.com/2016/02/wharton-pushes-data-science.html
"Learning Data Science : Sochi 2014, R, D3.js",http://rformining.blogspot.com/2014/02/sochi-2014-r-d3js.html
Caitlin Smallwood: Data Scientists at Work | Happy Data Scientist,http://happydatascientist.blogspot.com/2015/04/caitlin-smallwood-data-scientists-at.html
Big Data Science Practice: Exercise to compare classifier performance,http://kumaranpm.blogspot.com/2014/11/exercise-to-compare-classifier.html
Building a business that combines human experts and data science ...,http://practicalquant.blogspot.com/2016/01/building-a-business-that-combines-human-experts-and-data-science.html
Data Mining and Predictive Analytics: Data Science and Big Data ...,http://abbottanalytics.blogspot.com/2014/01/data-science-and-big-data-search-trends.html
Tenured Associate Professorship (Data Science) at the University of ...,http://beamtenherrschaft.blogspot.com/2016/04/tenured-associate-professorship-data.html
Fuck You Data Science. Srsly.,http://fudatascience.blogspot.com/
Introductory Statistics for Data Science - Econometrics Beat: Dave ...,http://davegiles.blogspot.com/2015/04/introductory-statistics-for-data-science.html
Data @ Libs: Announcing the 2016 eScience Data Science for Social ...,http://data.blogspot.com/2016/02/announcing-2016-escience-data-science.html
Data Science Summit - registration is open - Large Scale Machine ...,http://bickson.blogspot.com/2016/01/data-science-summit-registration-is-open.html
Lili's Sharings : The First Python Project in Data Science: Stock Price ...,http://lovelearning9.blogspot.com/2015/12/the-first-python-project-in-data.html
Information School News: The First Data Science Forum Meeting,http://information-studies.blogspot.com/2016/05/the-first-data-science-forum-meeting.html
The Aspirational Data Scientist: Online Course Reviews: Coursera's ...,http://newdatascientist.blogspot.com/2013/10/online-course-reviews-courseras-machine.html
Open Data Science Conference #ODSC: Cool Data Science GitHub ...,http://opendatascienceconference.blogspot.com/2016/03/cool-data-science-github-repos.html
Information Processing: The rise of data science,http://infoproc.blogspot.com/2011/08/rise-of-data-science.html
Inderscience news: First issue: International Journal of Data Science ...,http://inderscience.blogspot.com/2015/04/first-issue-international-journal-of_27.html
DataScience Deep Dive,http://dsdeepdive.blogspot.com/
The Eponymous Pickle: PurePredictive Automating Data Science,http://eponymouspickle.blogspot.com/2016/03/purepredictive-automating-data-science.html
the Garden of Forking Paths: Data Science and Its Uses,http://gardenforkingpaths.blogspot.com/2013/05/data-science-and-its-uses.html
The Eponymous Pickle: Data Science at the Command Line,http://eponymouspickle.blogspot.com/2015/02/data-science-at-command-line.html
Data science for Tauber | Ecommerce thoughts from Ann Arbor,http://ecommerceaa.blogspot.com/2016/04/data-science-for-tauber.html
Data Scientist's Diary: Morning@Lohika: Introduction to Data Science,http://datascientistdiary.blogspot.com/2016/01/morninglohika-introduction-to-data.html
Data Mining and Predictive Analytics,http://abbottanalytics.blogspot.com/
"TechMusings (BigData,Hadoop,Pig,Hive,DataScience,IoT,EAI,SOA ...",http://bigdatatechmusings.blogspot.com/2016/04/statistics-learning-for-data-science-2_27.html
Few links to Data Science and Machine learning posts. ~ Technical ...,http://ramannanda.blogspot.com/2016/03/few-links-to-data-science-and-machine.html
Process Mining: Data science in Action - Igor Subbotin,http://igorsubbotin.blogspot.com/2014/09/process-mining-data-science-mooc.html
Process Mining: Data science in Action - Igor Subbotin,http://igorsubbotin.blogspot.com/2014/11/process-mining-data-science-in-action.html
PyInformatics: Bioinformatics and Data Science in Python,http://pyinformatics.blogspot.com/
21st Century Scientist: Translational Medicine with Data Science,http://21stcenturyscientist.blogspot.com/2016/01/translational-medicine-with-data-science.html
